,Bolzano,Verona,Milano,Torino,Trieste,Venice,Bologna,Genoa,Pisa,Florence,Ancona,Rome,Pescara,Naples,Foggia,Bari,Brindisi,Lecce,Taranto,Reggio di Calabria
Bolzano,0,124,209,325,207,139,223,297,315,305,361,518,501,668,651,744,832,878,821,995
Verona,124,0,138,263,218,98,107,199,197,185,285,411,421,576,575,676,778,813,748,901
Milano,209,138,0,131,356,243,200,120,218,249,399,480,524,659,677,786,892,925,857,975
Torino,325,263,131,0,480,365,296,125,264,318,490,525,600,713,753,865,971,1004,931,1022
Trieste,207,218,356,480,0,114,228,404,342,288,227,429,358,535,487,563,653,690,640,853
Venice,139,98,243,365,114,0,130,290,246,204,224,393,366,534,513,605,701,739,680,861
Bologna,223,107,200,296,228,130,0,192,116,84,199,304,325,471,480,587,690,725,657,797
Genoa,297,199,120,125,404,290,192,0,141,199,377,403,480,592,631,744,849,884,810,900
Pisa,315,197,218,264,342,246,116,141,0,69,249,264,340,450,489,604,709,742,668,764
Florence,305,185,249,318,288,204,84,199,69,0,181,232,281,409,435,546,652,686,613,729
Ancona,361,285,399,490,227,224,199,377,249,181,0,204,140,311,290,391,492,528,462,639
Rome,518,411,480,525,429,393,304,403,264,232,204,0,153,187,257,372,474,514,424,499
Pescara,501,421,524,600,358,366,325,480,340,281,140,153,0,176,156,266,370,405,333,496
Naples,668,576,659,713,535,534,471,592,450,409,311,187,176,0,127,218,310,333,252,327
Foggia,651,575,677,753,487,513,480,631,489,435,290,257,156,127,0,116,219,251,178,372
Bari,744,676,786,865,563,605,587,744,604,546,391,372,266,218,116,0,104,138,75,351
Brindisi,832,778,892,971,653,701,690,849,709,652,492,474,370,310,219,104,0,37,63,344
Lecce,878,813,925,1004,690,739,725,884,742,686,528,514,405,333,251,138,37,0,81,330
Taranto,821,748,857,931,640,680,657,810,668,613,462,424,333,252,178,75,63,81,0,296
Reggio di Calabria,995,901,975,1022,853,861,797,900,764,729,639,499,496,327,372,351,344,330,296,0
